station_id,is_weekend,hour,target_bikes,capacity
ST0017,False,2,0,7
ST0017,False,3,0,7
ST0017,False,4,0,7
ST0017,False,5,1,7
ST0017,False,6,2,7
ST0017,False,7,3,7
ST0017,False,8,2,7
ST0017,False,9,1,7
ST0017,False,10,1,7
ST0017,False,11,2,7
ST0017,False,12,2,7
ST0017,False,13,2,7
ST0017,False,14,2,7
ST0017,False,15,2,7
ST0017,False,16,3,7
ST0017,False,17,4,7
ST0017,False,18,2,7
ST0017,False,19,5,7
ST0017,False,20,3,7
ST0017,False,21,2,7
ST0017,False,22,3,7
ST0017,False,23,2,7
ST0017,True,0,2,7
ST0017,True,1,1,7
ST0017,True,2,1,7
ST0017,True,3,0,7
ST0017,True,4,1,7
ST0017,True,5,2,7
ST0017,True,6,1,7
ST0017,True,7,2,7
ST0017,True,8,4,7
ST0017,True,9,1,7
ST0017,True,10,1,7
ST0017,True,11,1,7
ST0017,True,12,1,7
ST0017,True,13,2,7
ST0017,True,14,2,7
ST0017,True,15,1,7
ST0017,True,16,2,7
ST0017,True,17,1,7
ST0017,True,18,2,7
ST0017,True,19,4,7
ST0017,True,20,2,7
ST0017,True,21,0,7
ST0017,True,22,2,7
ST0017,True,23,0,7
ST0018,False,0,1,10
ST0018,False,1,0,10
ST0018,False,2,0,10
ST0018,False,3,0,10
ST0018,False,4,0,10
ST0018,False,5,0,10
ST0018,False,6,0,10
ST0018,False,7,2,10
ST0018,False,8,3,10
ST0018,False,9,1,10
ST0018,False,10,1,10
ST0018,False,11,0,10
ST0018,False,12,0,10
ST0018,False,13,1,10
ST0018,False,14,1,10
ST0018,False,15,1,10
ST0018,False,16,1,10
ST0018,False,17,1,10
ST0018,False,18,1,10
ST0018,False,19,1,10
ST0018,False,20,2,10
ST0018,False,21,1,10
ST0018,False,22,2,10
ST0018,False,23,1,10
ST0018,True,0,1,10
ST0018,True,1,0,10
ST0018,True,2,0,10
ST0018,True,3,1,10
ST0018,True,4,0,10
ST0018,True,5,0,10
ST0018,True,6,1,10
ST0018,True,7,0,10
ST0018,True,8,1,10
ST0018,True,9,0,10
ST0018,True,10,1,10
ST0018,True,11,1,10
ST0018,True,12,0,10
ST0018,True,13,0,10
ST0018,True,14,1,10
ST0018,True,15,1,10
ST0018,True,16,1,10
ST0018,True,17,2,10
ST0018,True,18,1,10
ST0018,True,19,1,10
ST0018,True,20,1,10
ST0018,True,21,2,10
ST0018,True,22,2,10
ST0018,True,23,2,10
